Nome_Cliente,Salario_Mensal,Score_Credito,Idade,Cidade,Estado,Metodo_Pagamento,Descricao_Pagamento,Nome_Loja,Categoria_Loja,Data_Compra,Hora_Compra,Final_de_Semana,Valor_Compra,Parcelas,Status_Pagamento
Rafael Lopes,21082.43,877,23,Recife,PE,Online,Compra realizada via site ou aplicativo próprio da marca.,da Cruz,Eletrodomésticos,2025-12-11,00:22,Não,2632.23,10,Pendente
Hadassa Farias,5280.09,666,19,Joinville,SC,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Aparecida,Loja de Roupas,2026-02-21,23:56,Sim,3391.98,8,Pago
João Felipe Fogaça,2443.6,981,75,Blumenau,SC,Presencial,Venda física via maquininha no balcão da loja.,Montenegro,Restaurante,2025-08-08,12:57,Não,1683.64,5,Pendente
Bryan Araújo,24868.48,551,78,São Paulo,SP,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Cavalcanti,Livraria,2026-03-20,19:23,Não,3162.9,11,Atrasado
Ravi Lucca Nunes,16070.13,350,71,Caruaru,PE,Presencial,Venda física via maquininha no balcão da loja.,Novais S/A,Loja de Roupas,2025-06-09,11:13,Não,1138.51,10,Pago
Yan da Luz,14120.72,651,38,Salvador,BA,Presencial,Venda física via maquininha no balcão da loja.,Barros,Restaurante,2025-12-19,08:24,Não,1396.84,8,Atrasado
Caroline Costa,3894.14,642,45,Porto Seguro,BA,Presencial,Venda física via maquininha no balcão da loja.,Ramos,Loja de Roupas,2025-08-07,10:23,Não,435.58,7,Pendente
Henry Monteiro,19018.43,803,43,Belo Horizonte,MG,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Novaes Ltda.,Livraria,2025-10-13,20:29,Não,412.54,3,Pago
Mariane Pereira,15064.07,612,64,Belo Horizonte,MG,Presencial,Venda física via maquininha no balcão da loja.,Aragão Cardoso S.A.,Restaurante,2025-08-09,11:42,Sim,1892.45,1,Pago
Luiz Fernando Viana,5674.4,482,33,Blumenau,SC,Online,Compra realizada via site ou aplicativo próprio da marca.,Novais da Costa - ME,Livraria,2025-05-06,19:23,Não,2910.86,7,Pago
Théo Silveira,18729.28,564,20,Caxias do Sul,RS,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,das Neves,Eletrodomésticos,2025-05-19,13:47,Não,3298.56,8,Pendente
Maria Vitória Gonçalves,1900.8,372,77,Caruaru,PE,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Freitas,Restaurante,2026-01-07,19:20,Não,1684.4,9,Pendente
Joaquim Duarte,15241.88,542,73,São José dos Campos,SP,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Moura,Loja de Roupas,2026-01-06,04:16,Não,2159.41,1,Atrasado
Davi Miguel Silva,10148.07,854,27,Uberlândia,MG,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,da Luz Rocha S/A,Farmácia,2025-05-03,13:59,Sim,3055.11,12,Pendente
Alícia Silva,6018.6,352,29,Brasília,DF,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Caldeira,Supermercado,2025-04-16,04:20,Não,3154.61,5,Pendente
Bruna Porto,23513.42,852,59,Ouro Preto,MG,Presencial,Venda física via maquininha no balcão da loja.,Castro,Livraria,2026-04-01,10:17,Não,1690.11,2,Pendente
Luara Cavalcanti,11710.57,846,52,Búzios,RJ,Online,Compra realizada via site ou aplicativo próprio da marca.,da Rocha,Farmácia,2025-05-11,05:35,Sim,2939.15,7,Pago
Luiz Felipe Azevedo,8210.31,543,36,Maringá,PR,Online,Compra realizada via site ou aplicativo próprio da marca.,Machado Cavalcanti S/A,Restaurante,2025-05-25,10:49,Sim,2104.29,1,Pago
Laura Castro,11505.49,834,30,Feira de Santana,BA,Presencial,Venda física via maquininha no balcão da loja.,Casa Grande,Loja de Roupas,2025-09-26,12:10,Não,3357.13,9,Pendente
Isis Cardoso,19241.18,435,77,Gramado,RS,Presencial,Venda física via maquininha no balcão da loja.,Borges - ME,Supermercado,2025-10-15,14:39,Não,3346.55,5,Atrasado
Olivia Camargo,8406.96,808,60,Búzios,RJ,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Mendonça,Restaurante,2025-05-07,16:01,Não,511.43,5,Atrasado
Ana Julia Freitas,7203.8,830,57,Feira de Santana,BA,Presencial,Venda física via maquininha no balcão da loja.,Cavalcante,Livraria,2026-02-18,15:46,Não,2396.7,10,Pendente
Maria Sophia Nascimento,19164.69,465,36,Florianópolis,SC,Online,Compra realizada via site ou aplicativo próprio da marca.,Vieira,Supermercado,2025-09-01,12:08,Não,3235.31,3,Pago
Henry Gabriel Marques,23981.79,677,27,Santos,SP,Presencial,Venda física via maquininha no balcão da loja.,Pires,Farmácia,2025-05-12,14:18,Não,929.21,8,Atrasado
Clara Azevedo,21695.4,591,66,Recife,PE,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Peixoto,Livraria,2025-05-29,20:37,Não,668.89,11,Atrasado
Aurora Carvalho,20455.02,954,51,Olinda,PE,Presencial,Venda física via maquininha no balcão da loja.,Moura - EI,Restaurante,2025-07-28,13:03,Não,371.19,9,Pendente
Luana Castro,19085.25,340,62,Petrópolis,RJ,Online,Compra realizada via site ou aplicativo próprio da marca.,Silveira Casa Grande Ltda.,Farmácia,2026-02-06,06:50,Não,304.46,5,Pago
João Novais,22499.16,417,58,Uberlândia,MG,Presencial,Venda física via maquininha no balcão da loja.,Moraes,Livraria,2025-12-11,16:37,Não,2575.72,10,Pago
Maria Júlia Moura,24440.27,919,74,Ouro Preto,MG,Online,Compra realizada via site ou aplicativo próprio da marca.,Rodrigues e Filhos,Loja de Roupas,2025-10-08,08:18,Não,694.7,7,Pendente
Marcos Vinicius Nogueira,3810.46,743,70,Porto Alegre,RS,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Martins,Loja de Roupas,2026-01-18,15:49,Sim,1804.3,11,Atrasado
Rhavi Vieira,6975.33,460,67,Brasília,DF,Online,Compra realizada via site ou aplicativo próprio da marca.,Gonçalves Albuquerque - EI,Eletrodomésticos,2026-02-26,14:52,Não,297.54,11,Atrasado
Yago Câmara,21137.53,927,48,Londrina,PR,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Martins Albuquerque S/A,Livraria,2025-10-21,07:52,Não,2069.67,11,Pago
Davi Vasconcelos,8493.81,320,56,Olinda,PE,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,da Mota,Restaurante,2025-09-03,14:38,Não,3135.57,3,Pago
Maitê Andrade,24576.72,846,20,Porto Seguro,BA,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,da Paz,Eletrodomésticos,2025-12-04,17:22,Não,754.09,6,Atrasado
Hellena da Paz,9170.53,659,19,Belo Horizonte,MG,Presencial,Venda física via maquininha no balcão da loja.,Leão Mendes Ltda.,Farmácia,2026-03-19,12:48,Não,2462.24,10,Pago
