Nome_Cliente,Salario_Mensal,Score_Credito,Idade,Cidade,Estado,Metodo_Pagamento,Descricao_Pagamento,Nome_Loja,Categoria_Loja,Data_Compra,Hora_Compra,Final_de_Semana,Valor_Compra,Parcelas,Status_Pagamento
Manuela Lima,23139.38,488,78,Petrópolis,RJ,Presencial,Venda física via maquininha no balcão da loja.,Barros Fogaça S/A,Restaurante,2026-01-23,09:11,Não,2361.14,9,Pago
Noah Souza,17104.15,487,42,Brasília,DF,Online,Compra realizada via site ou aplicativo próprio da marca.,Silveira,Supermercado,2025-06-03,06:32,Não,1074.2,6,Atrasado
Sabrina da Cruz,3294.28,838,64,Belo Horizonte,MG,Presencial,Venda física via maquininha no balcão da loja.,Pacheco e Filhos,Farmácia,2025-11-05,14:40,Não,295.97,8,Pendente
João Gonçalves,6244.5,549,50,Gramado,RS,Online,Compra realizada via site ou aplicativo próprio da marca.,da Cunha Pacheco e Filhos,Restaurante,2025-04-12,13:59,Sim,396.74,11,Atrasado
João Guilherme da Luz,2471.51,792,19,Olinda,PE,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Cirino S/A,Supermercado,2025-10-04,04:58,Sim,2511.51,6,Atrasado
Asafe Castro,13108.03,432,25,Porto Alegre,RS,Online,Compra realizada via site ou aplicativo próprio da marca.,Rezende,Loja de Roupas,2026-03-28,17:05,Sim,1979.88,11,Pendente
Maysa Martins,14739.65,885,18,Porto Seguro,BA,Online,Compra realizada via site ou aplicativo próprio da marca.,Viana,Loja de Roupas,2025-07-16,01:31,Não,2114.15,3,Pendente
Heloísa Rezende,20398.88,797,23,Gramado,RS,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Garcia,Eletrodomésticos,2026-02-24,02:07,Não,1991.36,6,Pago
João Lucas da Cruz,20502.85,779,45,Caruaru,PE,Online,Compra realizada via site ou aplicativo próprio da marca.,Garcia,Restaurante,2025-12-21,18:15,Sim,1085.57,1,Atrasado
Isabela Cunha,23196.68,635,44,Olinda,PE,Presencial,Venda física via maquininha no balcão da loja.,Montenegro S.A.,Livraria,2025-10-08,15:35,Não,2516.41,7,Atrasado
Maria Helena Farias,1968.07,822,54,Petrópolis,RJ,Online,Compra realizada via site ou aplicativo próprio da marca.,Ferreira,Eletrodomésticos,2025-04-24,09:54,Não,192.08,2,Atrasado
Maria Cecília Aparecida,12080.23,545,75,São José dos Campos,SP,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Barbosa Rios - EI,Livraria,2026-02-06,22:56,Não,2553.62,10,Pago
Maysa da Mata,19308.7,983,43,Salvador,BA,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Machado,Livraria,2025-11-12,23:27,Não,1039.79,10,Pendente
Davi Lucca Novais,9556.68,706,50,Caruaru,PE,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,da Luz,Supermercado,2025-04-12,00:52,Sim,1061.86,8,Pago
Kevin Gonçalves,15671.49,444,78,Gramado,RS,Online,Compra realizada via site ou aplicativo próprio da marca.,da Conceição,Livraria,2025-12-07,14:25,Sim,2306.73,9,Atrasado
Davi Andrade,6922.5,419,45,Joinville,SC,Presencial,Venda física via maquininha no balcão da loja.,Porto,Supermercado,2025-11-20,15:34,Não,3206.25,10,Pago
João Pedro Peixoto,24796.99,554,18,Florianópolis,SC,Presencial,Venda física via maquininha no balcão da loja.,Rezende,Loja de Roupas,2026-02-14,13:05,Sim,2144.67,7,Pendente
Yasmin Mendes,23305.94,539,62,Gramado,RS,Online,Compra realizada via site ou aplicativo próprio da marca.,Novaes,Restaurante,2025-07-15,20:16,Não,1198.88,7,Pendente
Allana Lima,6066.88,821,71,Joinville,SC,Online,Compra realizada via site ou aplicativo próprio da marca.,Rocha,Farmácia,2026-02-07,02:08,Sim,239.02,8,Atrasado
Anna Liz Moura,21749.69,450,48,Brasília,DF,Online,Compra realizada via site ou aplicativo próprio da marca.,Monteiro,Farmácia,2025-10-13,04:06,Não,161.12,9,Pendente
Vitor Machado,18224.67,726,23,Blumenau,SC,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,da Mata Ribeiro S.A.,Eletrodomésticos,2026-01-19,22:18,Não,2367.65,7,Atrasado
Lucas Vargas,11854.24,413,28,Brasília,DF,Link de Pagamento,URL gerada pelo vendedor e enviada por chat/rede social.,Viana,Livraria,2026-04-04,19:43,Sim,1454.33,7,Atrasado
Olivia Sales,3330.75,672,43,Blumenau,SC,Presencial,Venda física via maquininha no balcão da loja.,Camargo,Farmácia,2025-10-23,17:01,Não,1973.37,1,Pendente
